phase	kind	file	line	target	change	text
p002	c-include	src/drivers/gpu/venus/display.c	15	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/venus/internal.h	15	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/venus/internal.h	16	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/venus/share.c	14	include/drivers/gpu-share.h	drivers/gpu-share.h -> drivers/gpu/gpu-share.h	#include <drivers/gpu-share.h>
p002	c-include	src/drivers/gpu/venus/transport.c	14	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/venus/venus.c	14	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/venus/venus.c	18	include/drivers/venus.h	drivers/venus.h -> drivers/pci/pci-venus.h	#include <drivers/venus.h>
p002	c-include	src/drivers/isa/ne2000.c	12	include/drivers/pcat-ne2000.h	drivers/pcat-ne2000.h -> drivers/isa/pcat-ne2000.h	#include "drivers/pcat-ne2000.h"
p002	c-include	src/drivers/isa/ne2000.c	13	include/drivers/dp8390.h	drivers/dp8390.h -> drivers/ethernet/dp8390.h	#include "drivers/dp8390.h"
p002	c-include	src/drivers/pci/pci-ehci.c	12	include/drivers/pci-ehci.h	drivers/pci-ehci.h -> drivers/pci/pci-ehci.h	#include <drivers/pci-ehci.h>
p002	c-include	src/drivers/pci/pci-ehci.c	13	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/pci/pci-ehci.c	14	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/pci/pci-nvme.c	12	include/drivers/pci-nvme.h	drivers/pci-nvme.h -> drivers/pci/pci-nvme.h	#include <drivers/pci-nvme.h>
p002	c-include	src/drivers/pci/pci-nvme.c	13	include/drivers/pci-nvme-protocol.h	drivers/pci-nvme-protocol.h -> drivers/pci/pci-nvme-protocol.h	#include <drivers/pci-nvme-protocol.h>
p002	c-include	src/drivers/pci/pci-nvme.c	14	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/pci/pci-pcat.c	12	include/drivers/pci-pcat.h	drivers/pci-pcat.h -> drivers/pci/pci-pcat.h	#include <drivers/pci-pcat.h>
p002	c-include	src/drivers/pci/pci-pcat.c	13	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/pci/pci-uhci.c	12	include/drivers/pci-uhci.h	drivers/pci-uhci.h -> drivers/pci/pci-uhci.h	#include <drivers/pci-uhci.h>
p002	c-include	src/drivers/pci/pci-uhci.c	13	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/pci/pci-uhci.c	14	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/pci/pci-xhci.c	12	include/drivers/pci-xhci.h	drivers/pci-xhci.h -> drivers/pci/pci-xhci.h	#include <drivers/pci-xhci.h>
p002	c-include	src/drivers/pci/pci-xhci.c	13	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/pci/pci-xhci.c	14	include/drivers/pci-xhci-capability.h	drivers/pci-xhci-capability.h -> drivers/pci/pci-xhci-capability.h	#include <drivers/pci-xhci-capability.h>
p002	c-include	src/drivers/pci/pci-xhci.c	15	include/drivers/pci-xhci-control.h	drivers/pci-xhci-control.h -> drivers/pci/pci-xhci-control.h	#include <drivers/pci-xhci-control.h>
p002	c-include	src/drivers/pci/pci-xhci.c	16	include/drivers/pci-xhci-lifecycle.h	drivers/pci-xhci-lifecycle.h -> drivers/pci/pci-xhci-lifecycle.h	#include <drivers/pci-xhci-lifecycle.h>
p002	c-include	src/drivers/pci/pci-xhci.c	17	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/pci/pci.c	12	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/platform/pc98/graphics/backend.c	13	include/drivers/graphics/pc98.h	drivers/graphics/pc98.h -> drivers/platform/pc98/graphics/pc98.h	#include "drivers/graphics/pc98.h"
p002	c-include	src/drivers/platform/pc98/pc98-busmouse.c	12	include/drivers/hid/pc98-busmouse.h	drivers/hid/pc98-busmouse.h -> drivers/platform/pc98/pc98-busmouse.h	#include "drivers/hid/pc98-busmouse.h"
p002	c-include	src/drivers/platform/pc98/pc98-lgy98.c	13	include/drivers/pc98-lgy98.h	drivers/pc98-lgy98.h -> drivers/platform/pc98/pc98-lgy98.h	#include "drivers/pc98-lgy98.h"
p002	c-include	src/drivers/platform/pc98/pc98-lgy98.c	14	include/drivers/dp8390.h	drivers/dp8390.h -> drivers/ethernet/dp8390.h	#include "drivers/dp8390.h"
p002	c-include	src/drivers/platform/pcat/graphics/backend.c	15	include/drivers/graphics/pcat.h	drivers/graphics/pcat.h -> drivers/platform/pcat/graphics/pcat.h	#include "drivers/graphics/pcat.h"
p002	c-include	src/drivers/platform/pcat/graphics/backend.c	17	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
