old	new
intel_ax211_transport_backend_init	drv_intel_ax211_transport_backend_init
intel_ax211_transport_backend_ops	drv_intel_ax211_transport_backend_ops
intel_ax211_transport_backend_ring_memory	drv_intel_ax211_transport_backend_ring_memory
intel_ax211_transport_command_abort_prepared	drv_intel_ax211_transport_command_abort_prepared
intel_ax211_transport_command_after_device_reset	drv_intel_ax211_transport_command_after_device_reset
intel_ax211_transport_command_complete	drv_intel_ax211_transport_command_complete
intel_ax211_transport_command_oldest	drv_intel_ax211_transport_command_oldest
intel_ax211_transport_command_pending_count	drv_intel_ax211_transport_command_pending_count
intel_ax211_transport_command_prepare_external	drv_intel_ax211_transport_command_prepare_external
intel_ax211_transport_command_prepare_inline	drv_intel_ax211_transport_command_prepare_inline
intel_ax211_transport_command_publish	drv_intel_ax211_transport_command_publish
intel_ax211_transport_command_submit_inline	drv_intel_ax211_transport_command_submit_inline
intel_ax211_transport_configure_msix	drv_intel_ax211_transport_configure_msix
intel_ax211_transport_disable_interrupts	drv_intel_ax211_transport_disable_interrupts
intel_ax211_transport_enable_firmware_interrupts	drv_intel_ax211_transport_enable_firmware_interrupts
intel_ax211_transport_enable_runtime_interrupts	drv_intel_ax211_transport_enable_runtime_interrupts
intel_ax211_transport_init	drv_intel_ax211_transport_init
intel_ax211_transport_initialize_rings	drv_intel_ax211_transport_initialize_rings
intel_ax211_transport_interrupt_claim	drv_intel_ax211_transport_interrupt_claim
intel_ax211_transport_interrupt_rearm	drv_intel_ax211_transport_interrupt_rearm
intel_ax211_transport_publish_rx_descriptor	drv_intel_ax211_transport_publish_rx_descriptor
intel_ax211_transport_quiesce	drv_intel_ax211_transport_quiesce
intel_ax211_transport_rx_next	drv_intel_ax211_transport_rx_next
intel_ax211_transport_rx_refresh	drv_intel_ax211_transport_rx_refresh
intel_ax211_transport_rx_replenish	drv_intel_ax211_transport_rx_replenish
intel_ax211_tx_api89_validate	drv_intel_ax211_tx_api89_validate
intel_ax211_tx_completion_decode	drv_intel_ax211_tx_completion_decode
intel_ax211_tx_prepare	drv_intel_ax211_tx_prepare
intel_ax211_tx_ring_allocate	drv_intel_ax211_tx_ring_allocate
intel_ax211_tx_ring_api89_validate	drv_intel_ax211_tx_ring_api89_validate
intel_ax211_tx_ring_complete	drv_intel_ax211_tx_ring_complete
intel_ax211_tx_ring_queue_add_build	drv_intel_ax211_tx_ring_queue_add_build
intel_ax211_tx_ring_queue_add_complete	drv_intel_ax211_tx_ring_queue_add_complete
intel_ax211_tx_ring_release	drv_intel_ax211_tx_ring_release
intel_ax211_tx_ring_reset	drv_intel_ax211_tx_ring_reset
intel_ax211_tx_ring_submit	drv_intel_ax211_tx_ring_submit
intel_ax211_tx_ring_timeout_oldest	drv_intel_ax211_tx_ring_timeout_oldest
intel_ax211_wide_command_encode	drv_intel_ax211_wide_command_encode
loop_attach_file	drv_loop_attach_file
loop_attach_path	drv_loop_attach_path
loop_backing_disk_ref	drv_loop_backing_disk_ref
loop_detach	drv_loop_detach
loop_get_index	drv_loop_get_index
loop_init	drv_loop_init
partition_scheme_gpt	drv_partition_scheme_gpt
partition_scheme_mbr	drv_partition_scheme_mbr
partition_scheme_pc98	drv_partition_scheme_pc98
partition_scheme_pc98_auto	drv_partition_scheme_pc98_auto
partition_scheme_pcat_auto	drv_partition_scheme_pcat_auto
partition_scheme_sun	drv_partition_scheme_sun
partition_scheme_x68k	drv_partition_scheme_x68k
pc98_auto_default	drv_pc98_auto_default
pc98_auto_make_hal	drv_pc98_auto_make_hal
pc98_busmouse_init	drv_pc98_busmouse_init
pc98_cirrus_default	drv_pc98_cirrus_default
pc98_cirrus_make_hal	drv_pc98_cirrus_make_hal
pc98_gdc_clear_graphics	drv_pc98_gdc_clear_graphics
pc98_gdc_default	drv_pc98_gdc_default
pc98_gdc_make_hal	drv_pc98_gdc_make_hal
pc98_glyph_default	drv_pc98_glyph_default
pc98_glyph_get_bitmap	drv_pc98_glyph_get_bitmap
pc98_glyph_make_hal	drv_pc98_glyph_make_hal
pc98_graphics_backend_blit	drv_pc98_graphics_backend_blit
pc98_graphics_backend_enter	drv_pc98_graphics_backend_enter
pc98_graphics_backend_fill	drv_pc98_graphics_backend_fill
pc98_graphics_backend_flush	drv_pc98_graphics_backend_flush
pc98_graphics_backend_get_glyph	drv_pc98_graphics_backend_get_glyph
pc98_graphics_backend_get_modes	drv_pc98_graphics_backend_get_modes
pc98_graphics_backend_leave	drv_pc98_graphics_backend_leave
pc98_graphics_backend_line	drv_pc98_graphics_backend_line
pc98_graphics_backend_pattern_fill	drv_pc98_graphics_backend_pattern_fill
pc98_graphics_backend_ready	drv_pc98_graphics_backend_ready
pc98_graphics_prepare	drv_pc98_graphics_prepare
pc98_ide_bios_unit	drv_pc98_ide_bios_unit
pc98_ide_init	drv_pc98_ide_init
pc98_ide_unit	drv_pc98_ide_unit
pc98_lgy98_init	drv_pc98_lgy98_init
pc98_unicode_to_jis	drv_pc98_unicode_to_jis
pcat_font_get_glyph	drv_pcat_font_get_glyph
pcat_font_init	drv_pcat_font_init
pcat_font_restore_ascii	drv_pcat_font_restore_ascii
pcat_graphics_backend_blit	drv_pcat_graphics_backend_blit
pcat_graphics_backend_enter	drv_pcat_graphics_backend_enter
pcat_graphics_backend_fill	drv_pcat_graphics_backend_fill
pcat_graphics_backend_flush	drv_pcat_graphics_backend_flush
pcat_graphics_backend_get_glyph	drv_pcat_graphics_backend_get_glyph
pcat_graphics_backend_get_modes	drv_pcat_graphics_backend_get_modes
