path	explanation-source	had-bom	body-sha256	explanation
userland/base/less/main.c	generated	no	9596164ae0b103002c4c7039c0480e369ec27195e7337a9ebe3fb0ea2d3a0239	Implements the zedBSD less userland command.
userland/base/libc/account.c	generated	no	030b0d5f1588a465dff08e697720b76a1efacc816fc838f8bdf444c1a76d896e	Implements the zedBSD C library account support.
userland/base/libc/atomic-runtime.c	generated	no	abea38ab079218fefddb7d1bbb9f84e7dde53a3bc929b8c5ddc785145d0406aa	Implements the zedBSD C library atomic runtime support.
userland/base/libc/crypt.c	generated	no	b2aa950e95cfada3ff3483e40ad474eb78f214726b07ff1c8e3dffc216a517ce	Implements the zedBSD C library crypt support.
userland/base/libc/dlfcn.c	generated	no	793f18a16f8cbda3874ecd32cded856ab1195e121ab427b4950bc0b81c09f50a	Implements the zedBSD C library dlfcn support.
userland/base/libc/mqueue.c	generated	no	24ac3eab3312c436b5944222c76dd8fec352646582d6cc03701f74ddab97aa48	Implements the zedBSD C library mqueue support.
userland/base/libc/poll.c	generated	no	ba688f4eb8c83b2b29a2fdac96317c85a738cf97b776fcef94965111a47c2b80	Implements the zedBSD C library poll support.
userland/base/libc/posix.c	generated	no	b3cf5ba464b9f66038fa32d27509a925f9348c0331c50212d260631033900593	Implements the zedBSD C library posix support.
userland/base/libc/pthread.c	generated	no	fcd01f9e15190061af4a5b5ec04701ccc2b52512fa82a5d8d78de8499e465609	Implements the zedBSD C library pthread support.
userland/base/libc/resolver-dns.c	generated	no	5caddc02f162b0ba48d96ced6f52f2098b6bec23e378947dd62bac42a2fc6e0d	Implements the zedBSD C library resolver dns support.
userland/base/libc/resolver-internal.h	generated	no	da87dd3cdfd1bf9b2319ed178ec11ac90ad77afba3ec56f5cd527c8e6b2bc068	Declares the zedBSD C library resolver internal interface.
userland/base/libc/resolver.c	generated	no	d495ae95ce1efd6d219f0c90eb58c29c984923700e1cb29e59e514de8b285fe0	Implements the zedBSD C library resolver support.
userland/base/libc/semaphore.c	generated	no	a0d1d405a16a71879d5ce7c68e49721b2b367f0985eafd5c1341f149be2208fe	Implements the zedBSD C library semaphore support.
userland/base/libc/shm.c	generated	no	423c6e197bb36f3095687f937256ff18edd6a559971967538f458da294c03557	Implements the zedBSD C library shm support.
userland/base/libc/signal.c	generated	no	d3165abe8f1bc24d2dd5098efa16298d4a0596ff89ab2e702f2740108cc09569	Implements the zedBSD C library signal support.
userland/base/libc/socket.c	generated	no	b17c25e129a6490741fd671f71b110640619648a7744f526fa88d07cf953ad65	Implements the zedBSD C library socket support.
userland/base/libc/static-tls.c	generated	no	2994080797e776b00d548451b940b4dae942e6d1dedaf0206db44ac19a6932c8	Implements the zedBSD C library static tls support.
userland/base/libc/syscall-aarch64.S	generated	no	f82798029ce7778e6d4ec436d8fbf0ed203a1d6a77433bfc30737546e11a18c8	Implements the aarch64 user-space system call entry point.
userland/base/libc/syscall-amd64.S	generated	no	289e5b9aa8b1b662bd694dcb752cf3f7d3ae563918a38c4d44b99817267d72a3	Implements the amd64 user-space system call entry point.
userland/base/libc/syscall-i386.S	generated	no	3da78666252ccc42e8828966d55dcd858f69637e47a4caf60c35a1dd1298456e	Implements the i386 user-space system call entry point.
userland/base/libc/syscall-sparcv9.S	generated	no	6e751e4add81d46e84856b242561da37de3d3205591666cd40c0a2cfb1849f30	Implements the sparcv9 user-space system call entry point.
userland/base/libc/syscall.h	generated	no	99547f8228da6c2fad04d8c8cb469c6a5fa25f1d7118b796b49f8070ef5b8afe	Declares the zedBSD C library syscall interface.
userland/base/libc/termios.c	generated	no	51b515b6820466be63e007b0f869f807718b5613c59c369a8c68436dc0a359e4	Implements the zedBSD C library termios support.
userland/base/libc/timer.c	retained	no	1beae2104c51d95314083327b08d021a93286c9019bf954ff9386cef09abcf35	POSIX process timers are kernel objects.  SIGEV_THREAD is implemented here because creating a user thread is necessarily a libc operation.  The signal handler only updates preallocated atomic state and wakes a private usync word; allocation and pthread_create() are confined to timer_worker().
userland/base/libc/utmpx.c	generated	no	d3cb8f03731bb847ad264a8a35d0a4cad39e73a4021bc21fd316d1a81846376c	Implements the zedBSD C library utmpx support.
userland/base/libedit/readline/history.h	generated	no	9508f5ef4c0b8b2ca2c59fd6d08ef71f318579b62bf1a6bba05e7d881760fa7e	Declares the zedBSD userland history interface.
userland/base/libedit/readline/readline.h	generated	no	703af081e4a1d6fc2b9a5acead10dd33e58aa0702cd757007d7d19cccc0be490	Declares the zedBSD userland readline interface.
userland/base/libedit/readline.c	retained	no	ee5fe8032b836bc177ba84aee8e72d85438df33b37d87b9e8f23170342f2f74f	A deliberately small Readline-compatible editor.  The package is named libedit, while its public header and archive names follow Readline.
userland/base/link/main.c	generated	no	8c8e98eae1b68b58d9a558113196609bdae63848d52ffe281811d45922aff8ae	Implements the zedBSD link userland command.
userland/base/ln/main.c	generated	no	285dd4218f98891ebcbb7707c33e1e52861a718b60fb26ebde69421220a1b137	Implements the zedBSD ln userland command.
userland/base/locale/main.c	generated	no	13ba233bc8db0bb0e7e631f8a89f9651ca06fdae1a50b3d6197af6be1d527b6f	Implements the zedBSD locale userland command.
userland/base/localedef/main.c	generated	no	bad5eabe371275229d36239a7ab7dfb10be12318ac7d9ead1ee44feacc5d21e8	Implements the zedBSD localedef userland command.
userland/base/logger/main.c	generated	no	f1694338aa4277777c0522f9160c61c8f5064f7ad000402768a85bb5c708274e	Implements the zedBSD logger userland command.
userland/base/login/main.c	generated	no	d3a8fd923c596b794d3a5c1dcf09554492c0d5c7e4be854086eaaadd4325b117	Implements the zedBSD login userland command.
userland/base/logname/main.c	generated	no	184e122f042141995fbc6e81410aa03a1ebaeacedccd4daf7e2fa01490d997fb	Implements the zedBSD logname userland command.
userland/base/lp/lpd-client.c	generated	no	602544160f66463e94352b45e5be07a2327a2f744cd848506810a85863ae90dd	Implements the zedBSD userland lpd client component.
userland/base/lp/lpd-client.h	generated	no	2f91b16423b3c0f193e4ba24a5dc11a8406272035daaf32e28990413a6a04060	Declares the zedBSD userland lpd client interface.
userland/base/lp/main.c	generated	no	165340620d0cd59569b44ce4d67db0f4de56451ad4ec2aebb5f554ad89670ac0	Implements the zedBSD lp userland command.
userland/base/ls/main.c	generated	no	75636116b21d761a2ef05c6645494f03f8908f07fe72b2c22441ac5900e43ce2	Implements the zedBSD ls userland command.
userland/base/m4/engine.c	generated	no	8f8ee183d6977592c7d498822b115f4174e6670602b05e31d633ddd1dab1014f	Implements the zedBSD userland engine component.
userland/base/m4/m4.h	generated	no	facaf3054db9431bb08869b7614e54b1865fcd60cff57c67614ed4e9958202c6	Declares the zedBSD userland m4 interface.
userland/base/m4/main.c	generated	no	93713595f35d02f5481244929db403bf79829006fed4d02526df55e7bdf3acc7	Implements the zedBSD m4 userland command.
userland/base/mesg/main.c	generated	no	f5a5cf08b3cd32d0da19456c91787e08f9fb0cdc437e1ddbeed8ffdd17f13d9b	Implements the zedBSD mesg userland command.
userland/base/mkdir/main.c	generated	no	27d3c966d5f7fcd390c505c573e6c716f2a074a2e362a63ccf7c6f265bd574a6	Implements the zedBSD mkdir userland command.
userland/base/mkfifo/main.c	generated	no	3edee880dc3e9893521869a9efe985bbf07e79cd3458fb056a58ddea6cc4d856	Implements the zedBSD mkfifo userland command.
userland/base/more/main.c	generated	no	3a1b44fd24cf7b12df3aab8dd81de9c2025029479c24e45924d25d2b94b1e444	Implements the zedBSD more userland command.
userland/base/mount/main.c	generated	no	6e2b07d378bea1271a176a7e707b5d0286418ab077c1f3e5550c0c91606a30b5	Implements the zedBSD mount userland command.
userland/base/msgfmt/main.c	generated	no	adb7ed9e27ab7f6d048cb7e415f684895d5c32dc5f6d1003165173a63a673947	Implements the zedBSD msgfmt userland command.
userland/base/mv/main.c	generated	no	ff54feac4b95a5fb4d40443024c934bba32735fe72e022444db4ea1f7edd6579	Implements the zedBSD mv userland command.
userland/base/net/dhcp.c	generated	no	f1ab2ec948662628cebdc1ca41603ee8930c41d7ed8dc31fb70a0e2c1e186ddc	Implements the zedBSD userland dhcp component.
userland/base/net/dhcp.h	generated	no	d3e98edc19cc5367f2b1545af112104af234a4f671a294e704b52babc946c3cf	Declares the zedBSD userland dhcp interface.
userland/base/net/main.c	generated	no	52f4b0e15d81831702663bd4839e3e7252d0bae7efb7f20865a35286fdf9de90	Implements the zedBSD net userland command.
userland/base/net/netconf.c	generated	no	c42bff411df08c7d48d37cf5815bc94efbcc4584caee8144f295143968af3e42	Implements the zedBSD userland netconf component.
userland/base/net/netconf.h	generated	no	3f2e036b3c8fa87772e3e1b42e6fc4e3836265a1f66d22a9716273e3bbf91a37	Declares the zedBSD userland netconf interface.
